insee_code,name,postal_code,lat,lon,population
64001,Aast,64460,43.292200,-0.082900,202
55001,Abainville,55130,48.531000,5.523600,280
59001,Abancourt,59268,50.236700,3.208700,441
60001,Abancourt,60220,49.695600,1.770200,569
54001,Abaucourt,54610,48.890300,6.265500,330
55002,Abaucourt-Hautecourt,55400,49.199800,5.546900,101
25001,Abbans-Dessous,25320,47.134500,5.871000,250
25002,Abbans-Dessus,25440,47.126700,5.887700,282
44001,Abbaretz,44170,47.554600,-1.492900,2073
60002,Abbecourt,60430,49.359700,2.156100,879
25003,Abbenans,25340,47.495700,6.449400,321
80001,Abbeville,80100,50.110100,1.831900,22395
60003,Abbeville-Saint-Lucien,60480,49.520100,2.167000,499
02001,Abbécourt,02300,49.599700,3.182400,518
91001,Abbéville-la-Rivière,91150,48.336900,2.197000,322
54002,Abbéville-lès-Conflans,54800,49.200500,5.846400,240
25004,Abbévillers,25310,47.426300,6.919500,1071
34001,Abeilhan,34290,43.460000,3.302600,1850
70001,Abelcourt,70300,47.794700,6.278900,333
39001,Abergement-la-Ronce,39500,47.065300,5.377800,827
39002,Abergement-le-Grand,39600,46.914100,5.678500,61
39003,Abergement-le-Petit,39800,46.906400,5.697300,46
39004,Abergement-lès-Thésy,39110,46.910900,5.944700,46
64003,Abidos,64150,43.393700,-0.627100,222
37001,Abilly,37160,46.939000,0.740600,1116
64004,Abitain,64390,43.417500,-0.998400,120
24001,Abjat-sur-Bandiat,24300,45.582500,0.765500,639
62001,Ablain-Saint-Nazaire,62153,50.398900,2.698300,1994
80002,Ablaincourt-Pressoir,80320,49.841200,2.826600,263
62002,Ablainzevelle,62116,50.153200,2.739500,208
51001,Ablancourt,51240,48.810300,4.531000,168
95002,Ableiges,95450,49.087300,1.973000,1108
78003,Ablis,78660,48.529200,1.856500,3913
14001,Ablon,14600,49.400700,0.280600,1166
94001,Ablon-sur-Seine,94480,48.723600,2.422900,5988
54003,Aboncourt,54115,48.360500,5.987500,91
57001,Aboncourt,57920,49.254400,6.355800,320
70002,Aboncourt-Gesincourt,70500,47.767700,5.974300,216
57002,Aboncourt-sur-Seille,57590,48.818600,6.357600,67
74001,Abondance,74360,46.252600,6.733400,1583
28001,Abondant,28410,48.798300,1.423600,2434
64005,Abos,64360,43.354800,-0.549300,526
42001,Aboën,42380,45.409700,4.127000,481
57003,Abreschviller,57560,48.603200,7.145100,1428
03001,Abrest,03200,46.096200,3.451400,2915
05001,Abriès-Ristolas,05460,44.771700,6.971700,374
59002,Abscon,59215,50.329300,3.299300,4108
16001,Abzac,16500,46.099900,0.717400,518
33001,Abzac,33230,45.012300,-0.128100,2048
64002,Abère,64160,43.388600,-0.174000,156
25005,Accolans,25250,47.490800,6.535300,87
07001,Accons,07160,44.891600,4.394400,361
64006,Accous,64490,42.921600,-0.599300,471
57004,Achain,57340,48.917100,6.589400,76
57006,Achen,57412,49.048300,7.183300,963
67001,Achenheim,67204,48.581800,7.629100,2637
02002,Achery,02800,49.693500,3.397400,584
80003,Acheux-en-Amiénois,80560,50.071600,2.531900,590
80004,Acheux-en-Vimeu,80210,50.066800,1.668800,501
62003,Acheville,62320,50.384700,2.881500,576
70003,Achey,70180,47.574000,5.607500,71
62004,Achicourt,62217,50.272300,2.757200,7873
62005,Achiet-le-Grand,62121,50.130600,2.778500,974
62006,Achiet-le-Petit,62121,50.128500,2.756800,320
58001,Achun,58110,47.131700,3.660500,160
60004,Achy,60690,49.562400,1.970100,408
18001,Achères,18250,47.282800,2.460100,326
78005,Achères,78260,48.981700,2.109500,22241
77001,Achères-la-Forêt,77760,48.347600,2.565300,1191
35001,Acigné,35690,48.146100,-1.518900,6874
27001,Aclou,27800,49.167500,0.693900,337
27002,Acon,27570,48.768100,1.105000,478
62007,Acq,62144,50.350200,2.654000,783
27003,Acquigny,27400,49.161600,1.174500,1733
62008,Acquin-Westbécourt,62380,50.733300,2.076300,802
02003,Acy,02200,49.347600,3.418800,1004
08001,Acy-Romance,08300,49.491500,4.326900,479
60005,Acy-en-Multien,60620,49.110100,2.953700,821
57007,Adaincourt,57580,49.006400,6.444500,135
78006,Adainville,78113,48.720600,1.662900,673
25006,Adam-lès-Passavant,25360,47.304900,6.369200,88
25007,Adam-lès-Vercel,25530,47.164600,6.390400,105
67002,Adamswiller,67320,48.906800,7.201700,407
65001,Adast,65260,42.976200,-0.076900,299
57008,Adelange,57380,49.007700,6.607700,222
70004,Adelans-et-le-Val-de-Bithaine,70200,47.707700,6.399200,311
65003,Adervielle-Pouchergues,65240,42.797300,0.389400,142
79002,Adilly,79200,46.701100,-0.318800,310
62009,Adinfer,62116,50.191300,2.707300,287
34002,Adissan,34230,43.535800,3.425400,1371
45001,Adon,45230,47.758700,2.792500,188
86001,Adriers,86430,46.262100,0.788400,698
65002,Adé,65100,43.144300,-0.027500,856
2A001,Afa,20167,41.981000,8.797500,3350
19001,Affieux,19260,45.511100,1.761900,385
54004,Affléville,54800,49.262700,5.757900,172
69001,Affoux,69170,45.844800,4.411600,398
54005,Affracourt,54740,48.460200,6.165500,113
62010,Affringues,62380,50.690100,2.069200,254
