insee_code,name,postal_code,lat,lon
37001,Abilly,37160,46.939000,0.740600
80002,Ablaincourt-Pressoir,80320,49.841200,2.826600
34003,Agde,34300,43.308400,3.483800
43001,Agnat,43100,45.343500,3.454200
60007,Agnetz,60600,49.394400,2.378400
81001,Aguts,81470,43.533300,1.927100
31002,Aignes,31550,43.333400,1.586600
63001,Aigueperse,63260,46.014500,3.202400
64014,Ainhoa,64250,43.296800,-1.482800
2A006,Alata,20167,41.970200,8.729400
62021,Alette,62650,50.525800,1.850600
78009,Allainville,78660,48.467300,1.903800
71003,Allerey-sur-Saône,71350,46.914500,4.970900
43004,Alleyrac,43150,44.895300,3.989800
43005,Alleyras,43580,44.911400,3.682900
04006,Allos,04260,44.269000,6.630400
64015,Alçay-Alçabéhéty-Sunharette,64470,43.083400,-0.965400
63003,Ambert,63600,45.551600,3.755600
56002,Ambon,56190,47.559900,-2.536500
21012,Ampilly-le-Sec,21400,47.813400,4.506500
66003,Amélie-les-Bains-Palalda,66110,42.450800,2.687000
44003,Ancenis-Saint-Géréon,44150,47.382000,-1.168100
65006,Ancizan,65440,42.903300,0.292400
89006,Ancy-le-Libre,89160,47.803400,4.149200
81013,Andouque,81350,44.000900,2.304300
82003,Angeville,82210,43.988600,1.034100
81014,Anglès,81260,43.536800,2.592100
16016,Ansac-sur-Vienne,16500,45.993400,0.626000
18007,Apremont-sur-Allier,18150,46.909200,3.018900
07012,Arcens,07310,44.896300,4.318400
86009,Archigny,86210,46.668200,0.684600
42008,Arcon,42370,46.009100,3.866900
10008,Argançon,10140,48.250800,4.597200
18011,Argent-sur-Sauldre,18410,47.562500,2.422300
35006,Argentré-du-Plessis,35370,48.050500,-1.139500
13004,Arles,13104,43.544100,4.651300
11016,Arquettes-en-Val,11220,43.106100,2.493800
65032,Arrens-Marsous,65400,42.908900,-0.251700
48008,Arzenc-de-Randon,48170,44.659800,3.608000
06006,Aspremont,06790,43.777200,7.242300
64068,Asson,64800,43.103500,-0.243200
13005,Aubagne,13400,43.290400,5.564300
02031,Aubenton,02500,49.825400,4.192800
52023,Auberive,52160,47.784300,5.094800
55014,Aubréville,55120,49.159800,5.097900
29003,Audierne,29770,48.028000,-4.565100
63019,Aulnat,63510,45.792400,3.172600
17024,Aulnay,17470,46.019200,-0.348700
39028,Aumont,39800,46.917900,5.636000
58017,Aunay-en-Bazois,58110,47.126800,3.724000
03011,Aurouër,03460,46.687300,3.312300
14581,Aurseulles,14240,49.133800,-0.699300
71014,Autun,71400,46.938600,4.303800
62063,Avesnes-le-Comte,62810,50.268800,2.533000
73025,Avressieux,73240,45.573900,5.696800
50027,Bacilly,50530,48.705200,-1.431300
89027,Bagneaux,89190,48.251300,3.593000
64090,Baliracq-Maumusson,64330,43.542200,-0.249900
2A028,Balogna,20160,42.185400,8.750500
59047,Banteux,59266,50.064200,3.187200
68020,Bantzenheim,68490,47.822600,7.503200
19016,Bar,19800,45.340700,1.814300
03016,Barberier,03140,46.222400,3.247500
50031,Barneville-Carteret,50270,49.378700,-1.775300
49018,Baugé-en-Anjou,49150,47.559800,-0.114300
54054,Bayon,54290,48.482000,6.320700
33036,Bazas,33430,44.440900,-0.217700
80062,Beaucamps-le-Vieux,80430,49.843700,1.778100
04024,Beaujeu,04420,44.214400,6.371400
85016,Beaulieu-sous-la-Roche,85190,46.686900,-1.624600
84014,Beaumont-de-Pertuis,84120,43.737200,5.697800
87009,Beaumont-du-Lac,87120,45.775600,1.853500
26037,Beaumont-lès-Valence,26760,44.874300,4.947700
38034,Beaurepaire,38270,45.337600,5.043900
33042,Belin-Béliet,33830,44.495900,-0.798900
61040,Bellou-en-Houlme,61220,48.691200,-0.441600
88051,Belmont-sur-Vair,88800,48.257900,5.913500
55045,Belrupt-en-Verdunois,55100,49.149700,5.448000
80094,Berteaucourt-lès-Thennes,80110,49.821900,2.464400
07032,Berzème,07580,44.651400,4.571700
24039,Besse,24550,44.665200,1.112000
03026,Besson,03210,46.481700,3.252300
53029,Bierné-les-Villages,53290,47.791800,-0.563300
68036,Biesheim,68600,48.047100,7.539500
54075,Bionville,54540,48.494000,7.023400
16045,Birac,16120,45.562800,-0.055900
40046,Biscarrosse,40600,44.407700,-1.152500
08067,Blagny,08110,49.623200,5.198900
21081,Blaisy-Haut,21540,47.360600,4.770600
18031,Blet,18350,46.883900,2.729200
54557,Bois-de-Haye,54840,48.700200,6.043500
27074,Boisney,27800,49.155300,0.651100
